objectid,bin,st_number,st_unit,unit_type,predir,st_name,suffix,postdir,zip,use_type,last_edited_user,last_edited_date,master_address_id,parcel_number,use_code,style,grade,ext_walls,roof,flooring,bsmt_type,heating,fireplace,year_built,no_of_stories,total_rooms,bedrooms,half_bathrooms,full_bathrooms,basement_garage,sq_footage_finished_living,basement,finished_basement
6003,93671956,634,NA,NA,NA,PROSPECT,AVE,NA,22903,R,NA,NA,6003,290152100,Single Family,2 Story,C,Vinyl,Shingles,Hardwood,No Basement,Forced Air,0,1925,2,7,2,1,1,0,1447,0,0
6004,94542113,703,NA,NA,NA,ORANGEDALE,AVE,NA,22903,R,NA,NA,6004,290153000,Single Family,2 Story,B,Hardy Board,Architectural Shingles,Hardwood,No Basement,Forced Air,1,1945,2,7,3,1,2,0,1960,NA,NA
6005,397614719,610,NA,NA,NA,250,BYP,NA,22902,R,NA,NA,6005,290154000,Single Family,2 Story,D,Wood,Shingles,Hardwood,No Basement,No Heat,0,1852,2,6,2,0,1,0,2000,0,0
6006,402114741,616,NA,NA,NA,250,BYP,NA,22902,R,NA,NA,6006,290155000,Vacant Land,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
6007,128496057,953,NA,NA,NA,RIVES,ST,NA,22902,R,NA,NA,6007,290156000,Vacant Land,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
6008,192512320,1867,NA,NA,NA,WINSTON,RD,NA,22903,R,NA,NA,6008,290157000,Vacant Land,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
6009,198512395,1859,NA,NA,NA,WINSTON,RD,NA,22903,R,NA,NA,6009,290159000,Single Family,2 Story,B,Wood,Shingles,None,No Basement,Heat Pump,0,2006,2,6,3,1,2,0,1440,0,0
6010,199612408,1105,NA,NA,NA,RUGBY,RD,NA,22903,R,NA,NA,6010,290160000,Single Family,1 Story,D,Asbestos,Shingles,Hardwood,No Basement,Baseboard,0,1925,1,5,3,0,1,0,1034,0,0
6011,204912485,1856,NA,NA,NA,FIELD,RD,NA,22903,R,NA,NA,6011,290161000,Single Family,1.5 Story,B,Brick/Masonry,Metal,Hardwood,Cellar,Heat Pump,1,1854,1.5,6,2,0,1,0,1288,0,0
6012,205912476,1106,NA,NA,NA,RUGBY,RD,NA,22903,R,NA,NA,6012,290164000,Single Family,2 Story,C,Hardy Board,Metal,Hardwood,No Basement,Forced Air,0,1925,2,7,3,0,2,0,1899,NA,NA
