objectid,bin,st_number,st_unit,unit_type,predir,st_name,suffix,postdir,zip,use_type,last_edited_user,last_edited_date,master_address_id,parcel_number,use_code,year_built,gross_area,story_height,number_of_stories
2205,586916630,620,NA,NA,NA,FARISH,ST,NA,22902,R,NA,NA,2205,5600442A0,Office Building,1987,1422,11,1
2206,269113277,1011,NA,NA,NA,COTTONWOOD,RD,NA,22901,R,NA,NA,2206,5600442A0,Office Building,1987,1493,11,1
2317,147711711,1310,NA,NA,NA,BLUE RIDGE,RD,NA,22903,R,NA,NA,2317,580289100,Industrial Light Manufacturing,1994,41088,12,2
2318,131796573,402,NA,NA,NA,HARRIS,RD,NA,22903,R,NA,NA,2318,580319000,Apartments 1-10 units,1920,NA,NA,NA
2046,107173547,2421,G,APT,NA,JEFFERSON PARK,AVE,NA,22903,R,NA,NA,2046,540010000,Office Building,1921,1416,8,1.5
2049,110343782,111,B,APT,NA,HAMMOND,ST,NA,22903,R,NA,NA,2049,540018000,Medical Office,1993,8860,10,2
2069,359014194,1717,B,STE,NA,ALLIED,ST,NA,22903,C,NA,NA,2069,540107200,Apartments over 20 units,1972,18024,12,3
2228,768417160,210,31,UNIT,NA,10TH,ST,NE,22902,R,NA,NA,2228,570007400,Commercial,1995,1440,14,1
2229,768417160,210,32,UNIT,NA,10TH,ST,NE,22902,R,NA,NA,2229,570007900,Commercial,1975,900,14,1
2272,107043390,2417,E,APT,NA,JEFFERSON PARK,AVE,NA,22903,R,NA,NA,2272,570131000,Apartments 1-10 units,1972,2876,12,2
2280,110343782,111,A,APT,NA,HAMMOND,ST,NA,22903,R,NA,NA,2280,580002000,Office Building,1885,8561,12,3.5
2286,382814518,925,A,APT,NA,HENRY,AVE,NA,22903,R,NA,NA,2286,580129000,Barber Shop,1961,625,12,1
2287,382814518,925,B,APT,NA,HENRY,AVE,NA,22903,R,NA,NA,2287,580144000,Restaurant,1961,1267,12,1
2216,339014003,44,2,#,NA,UNIVERSITY,CIR,NA,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50768,560044300,Storage Warehouse,1987,16420,22,1
2218,442915112,1534,B,#,NA,VIRGINIA,AVE,NA,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50769,560044A00,Office Building,0,31220,40,1
2220,68128508,400,B,#,NA,10TH,ST,NE,22902,NA,PFAUTZ,2016-11-28T17:23:02.000Z,50770,560045000,Office Building,1990,3168,12,1
2226,303813655,821,A,#,NA,CABELL,AVE,NA,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50771,560109000,Apartments over 20 units,2013,3120,9,1
2230,397014643,802,4,#,NA,CYNTHIANNA,AVE,NA,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50772,570007900,Commercial,1975,768,10,1
2231,397014643,802,B,#,NA,CYNTHIANNA,AVE,NA,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50773,570017000,Service Repair Garage,1973,6136,12,1
2279,7011249,416,I,#,W,MAIN,ST,NA,22903,C,PFAUTZ,2016-11-28T17:23:00.000Z,50793,580001000,Office Building,1942,721,10,1
