RecordID_Int,ParcelNumber,UseCode,Style,Grade,ExtWalls,Roof,Flooring,BsmtType,Heating,Fireplace,YearBuilt,NoOfStories,TotalRooms,Bedrooms,HalfBathrooms,FullBathrooms,BasementGarage,SqFootageFinishedLiving,Basement,FinishedBasement
7169,330200370,Condominium,1 Story,A,Brick Veneer,Metal,W/W Carpet,No Basement,Heat Pump,1,1987,1.00,5,2,0,2,,1032,0,0
7170,330200390,Condominium,1 Story,A,Brick Veneer,Metal,W/W Carpet,No Basement,Heat Pump,1,1987,1.00,5,2,0,2,,1150,0,0
7171,330200401,Condominium,1 Story,A,Brick Veneer,Metal,Hardwood,No Basement,Heat Pump,1,1987,1.00,7,3,0,2,,2097,0,0
7172,330200410,Condominium,1 Story,A,Brick Veneer,Metal,Hardwood,No Basement,Heat Pump,1,1987,1.00,5,2,0,2,,1150,0,0
7173,330200420,Condominium,1 Story,A,Brick Veneer,Metal,Hardwood,No Basement,Heat Pump,1,1987,1.00,7,3,0,2,,2097,0,0
7174,330200430,Condominium,1 Story,A,Brick Veneer,Metal,Hardwood,No Basement,Heat Pump,1,1987,1.00,5,2,0,2,,1150,0,0
7175,330200440,Condominium,1 Story,A,Brick Veneer,Metal,W/W Carpet,No Basement,Heat Pump,1,1987,1.00,5,2,0,2,,2097,0,0
7176,330210000,Parking Lot,,,,,,,,,,,,,,,,,0,0
7177,330212000,Parking Lot,,,,,,,,,,,,,,,,,0,0
7178,330218000,Mixed Retail w/Res Units,,,,,,,,,,,,,,,,,0,0
7179,330240000,Vacant Land,,,,,,,,,,,,,,,,,0,0
7180,330244000,Commercial,,,,,,,,,,,,,,,,,0,0
7181,330245000,Bank,,,,,,,,,,,,,,,,,0,0
7182,330245100,Parking Lot,,,,,,,,,,,,,,,,,0,0
7183,330248000,Retail Store,3 Story,C,,,,,,,,,,,,,,,,
7184,330248000,Retail Store,3 Story,C,,,,,,,,,,,,,,,,
7185,330248000,Retail Store,3 Story,C,,,,,,,,,,,,,,,,
7186,330248000,Retail Store,3 Story,C,,,,,,,,,,,,,,,,
7187,330257100,Condominium,1 Story,B,Brick Veneer,Built Up,None,No Basement,Heat Pump,0,1979,1.00,4,1,0,2,,1600,0,0
7188,330257200,Condominium,1 Story,B,Brick Veneer,Built Up,None,No Basement,Heat Pump,0,1980,1.00,3,1,0,1,,1200,0,0
7189,330257300,Condominium,1 Story,B,Brick Veneer,Built Up,None,No Basement,Heat Pump,0,1979,1.00,3,1,0,1,,1200,0,0
7190,330262000,Parking Lot,,,,,,,,,,,,,,,,,0,0
7191,340007000,Parking Lot,,,,,,,,,,,,,,,,,0,0
7192,340013100,Vacant Land,,,,,,,,,,,,,,,,,0,0
7193,340020000,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,0,1961,1.00,6,3,0,2,0,1100,1100,576
7194,340020100,Single Family,1 Story,C,Asbestos,Shingles,Hardwood,No Basement,Forced Air,0,1959,1.00,6,3,0,1,0,1025,,
7195,340020200,Single Family,1 Story,C,Asbestos,Shingles,Hardwood,No Basement,Forced Air,0,1959,1.00,8,3,0,1,0,1426,,
7196,340020300,Single Family-3 Conversion,1 Story,C,Aluminum,Shingles,Hardwood,No Basement,Heat Pump,0,1961,1.00,13,7,0,3,0,1862,,
7197,340021000,Single Family,1 Story,C +,Aluminum,Shingles,Hardwood,Cellar,Forced Air,0,1948,1.00,6,3,0,2,0,975,390,
7198,340022000,Single Family,1 Story,C,Aluminum,Shingles,Hardwood,Partial Basement,Forced Air,1,1946,1.00,5,2,0,1,0,1472,736,0
7199,340023000,Single Family,1 Story,C,Aluminum,Shingles,Hardwood,Full Basement,Floor Furnace,0,1951,1.00,5,2,0,1,0,820,820,328
7200,340024000,Single Family,1 Story,B,Brick Veneer,Shingles,Hardwood,No Basement,Heat Pump,0,1956,1.00,5,2,0,1,0,1113,,
7201,340025000,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,0,1958,1.00,7,3,0,2,0,1021,1021,511
7202,340026000,Duplex,1 Story,C,Brick Veneer,Shingles,Other,Full Basement,Hot Water Radiator,0,1964,1.00,10,5,0,2,0,1157,1157,1157
7203,340026100,Single Family,Split-Foyer (Avg),C +,Brick Veneer,Architectural Shingles,Hardwood,Partial Basement,Heat Pump,2,1968,1.00,11,4,0,3,0,1572,1316,1316
7204,340026200,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,0,1962,1.00,6,3,0,2,0,1068,1068,694
7205,340027000,Single Family,2 Story,B,Brick Veneer,Shingles,Hardwood,No Basement,Forced Air,1,1940,2.00,6,3,0,2,0,2049,0,0
7206,340028000,Duplex,1 Story,B,Wood,Shingles,Hardwood,Full Basement,Forced Air,0,1963,1.00,10,5,0,2,0,979,979,835
7207,340028100,Duplex,1 Story,B,Aluminum,Shingles,Hardwood,Full Basement,Forced Air,0,1960,1.00,8,4,0,2,0,845,845,845
7208,340028200,Duplex,1 Story,C -,Brick Veneer,Shingles,Hardwood,Partial Basement,Forced Air,0,1962,1.00,9,5,0,2,0,997,832,832
7209,340028300,Single Family,1 Story,B,Brick Veneer,Shingles,Hardwood,Partial Basement,Forced Air,1,1985,1.00,5,2,0,2,0,1545,1286,0
7210,340029000,Single Family,1 Story,B,Brick Veneer,Shingles,Hardwood,No Basement,Forced Air,1,1953,1.00,5,2,0,1,0,1003,,
