objectid,lat,lon,bin,st_number,st_unit,unit_type,predir,st_name,suffix,postdir,zip,use_type,last_edited_user,last_edited_date,master_address_id,parcel_number,use_code,style,grade,ext_walls,roof,flooring,bsmt_type,heating,fireplace,year_built,no_of_stories,total_rooms,bedrooms,half_bathrooms,full_bathrooms,basement_garage,sq_footage_finished_living,basement,finished_basement
2200,38.03610145020482,-78.4750923933466,526515959,632,NA,NA,NA,PARK,ST,NA,22902,R,NA,NA,2200,180002100,Duplex,1 Story,C,Brick Veneer,Shingles,Hardwood,Partial Basement,Forced Air,0,1969,1,8,4,0,2,0,1573,0,0
2201,38.035267904121945,-78.47509568089113,554116259,616,NA,NA,NA,PARK,ST,NA,22902,R,NA,NA,2201,180002200,Duplex,1 Story,C,Brick Veneer,Shingles,Hardwood,Partial Basement,Forced Air,0,1967,1,8,4,0,2,0,1575,0,0
2202,38.035197123728345,-78.47591628788733,560816297,611,NA,NA,NA,PARK,ST,NA,22902,R,NA,NA,2202,180003000,Single Family,1 Story,C,Wood,Shingles,Hardwood,Partial Basement,Heat Pump,0,1953,1,4,2,0,1,0,857,0,0
2203,38.03506918218718,-78.47495495450141,566816370,614,NA,NA,NA,PARK,ST,NA,22902,R,NA,NA,2203,180003100,Single Family,1 Story,C,Aluminum,Shingles,Hardwood,Partial Basement,Floor Furnace,0,1953,1,4,2,0,1,0,1049,430,0
2204,38.0343365437438,-78.47548841357134,586416609,532,NA,NA,NA,PARK,ST,NA,22902,R,NA,NA,2204,180004000,Single Family,1 Story,C,Vinyl,Shingles,Hardwood,No Basement,Forced Air,0,1953,1,6,3,0,2,0,1339,NA,NA
2206,38.04414019624853,-78.46658365511422,269113277,1011,NA,NA,NA,COTTONWOOD,RD,NA,22901,R,NA,NA,2206,180005100,Duplex,1 Story,C,Aluminum,Shingles,Hardwood,Partial Basement,Forced Air,0,1956,1,8,4,0,2,0,1699,0,0
2205,38.03429128195174,-78.47472218463993,586916630,620,NA,NA,NA,FARISH,ST,NA,22902,R,NA,NA,2205,180005000,Single Family-1 Conversion,2 Story,C,Stone,Slate,Hardwood,Cellar,Hot Water Radiator,0,1915,2,11,4,0,3,0,3072,496,NA
2317,38.05134190702613,-78.49472695968186,147711711,1310,NA,NA,NA,BLUE RIDGE,RD,NA,22903,R,NA,NA,2317,180060000,Single Family,2 Story,B,Brick Veneer,Shingles,Hardwood,Full Basement,Hot Water Radiator,1,1939,2,8,3,2,2,0,2656,864,800
2318,38.01552845471379,-78.50502928011292,131796573,402,NA,NA,NA,HARRIS,RD,NA,22903,R,NA,NA,2318,180060100,Vacant Land,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2049,38.02135938272875,-78.51306914962434,110343782,111,B,APT,NA,HAMMOND,ST,NA,22903,R,NA,NA,2049,170058000,Single Family,2 Story,B,Wood,Shingles,Hardwood,No Basement,Heat Pump,0,2008,2,7,4,1,4,0,2736,NA,NA
2046,38.021878493258285,-78.5152231754712,107173547,2421,G,APT,NA,JEFFERSON PARK,AVE,NA,22903,R,NA,NA,2046,170057600,Duplex,1 Story,C,Wood,Shingles,Hardwood,Full Basement,Forced Air,0,1961,1,10,5,0,2,0,925,925,925
2069,38.04102890413899,-78.47815608530087,359014194,1717,B,STE,NA,ALLIED,ST,NA,22903,C,NA,NA,2069,170070000,Duplex,2 Story,B,Wood,Shingles,Other,Partial Basement,Hot Water Radiator,2,1942,2,12,8,0,5,0,2940,720,95
2228,38.02926215653766,-78.47286296826333,768417160,210,31,UNIT,NA,10TH,ST,NE,22902,R,NA,NA,2228,180015190,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1962,1,6,3,1,1,0,1053,1053,398
2229,38.02926215653766,-78.47286296826333,768417160,210,32,UNIT,NA,10TH,ST,NE,22902,R,NA,NA,2229,180015200,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1960,1,6,3,0,1,0,993,993,497
2280,38.02135938272875,-78.51306914962434,110343782,111,A,APT,NA,HAMMOND,ST,NA,22903,R,NA,NA,2280,180034100,Single Family,1.5 Story,B,Wood,Shingles,Hardwood,Full Basement,Forced Air,1,1896,1.5,8,3,0,2,0,1507,1103,800
2286,38.04001961045067,-78.48830283559695,382814518,925,A,APT,NA,HENRY,AVE,NA,22903,R,NA,NA,2286,180039100,Duplex,2 Story,B,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,0,1960,2,14,8,0,4,0,1792,896,896
2287,38.04001961045067,-78.48830283559695,382814518,925,B,APT,NA,HENRY,AVE,NA,22903,R,NA,NA,2287,180039200,Duplex,2 Story,B,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,0,1960,2,14,6,0,4,0,1790,895,895
2272,38.0221920969832,-78.51538218714317,107043390,2417,E,APT,NA,JEFFERSON PARK,AVE,NA,22903,R,NA,NA,2272,180031000,Single Family-1 Conversion,1.5 Story,B,Brick Veneer,Metal,Hardwood,Full Basement,Hot Water Radiator,1,1954,1.66,12,5,0,4,0,1937,1167,875
2518,38.01945248336309,-78.51411125294301,117174934,2514,A,APT,NA,JEFFERSON PARK,AVE,NA,22903,R,NA,NA,2518,190032300,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1962,1,8,4,0,2,0,1075,1061,795
2662,38.02926215653766,-78.47286296826333,768417160,210,17,UNIT,NA,10TH,ST,NE,22902,R,NA,NA,2662,190055000,Single Family-1 Conversion,1 Story,C,Wood Shingle,Shingles,Hardwood,Partial Basement,Floor Furnace,1,1920,1,10,5,0,2,0,1812,482,NA
2501,38.02676873008942,-78.51226302394112,85901338,1910,7,UNIT,NA,JEFFERSON PARK,AVE,NA,22903,R,NA,NA,2501,190018000,Single Family,1 Story,C,Stucco/Masonry,Asbestos,None,No Basement,Baseboard,1,1956,1,1,0,0,0,0,442,NA,NA
2934,38.01787637971997,-78.50829016804136,124995718,414,NA,NA,NA,MOSELEY,DR,NA,22903,R,NA,NA,2934,200214000,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,2,1961,1,7,3,0,2,0,1178,1178,589
2500,38.02676873008942,-78.51226302394112,85901384,1910,24,UNIT,NA,JEFFERSON PARK,AVE,NA,22903,R,NA,NA,2500,190018000,Single Family,1.5 Story,B,Wood,Shingles,Hardwood,Cellar,Forced Air,1,1956,1.75,10,4,0,3,0,3303,360,NA
2935,38.041772737406035,-78.49517236666168,325313945,729,NA,NA,NA,MADISON,AVE,NA,22903,R,NA,NA,2935,200215000,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,2,1963,1,6,2,1,1,0,1204,1204,0
2937,38.02065286881988,-78.51911518197855,1428919849,218,NA,NA,NA,HUNTLEY,AVE,NA,22903,R,NA,NA,2937,200217000,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,0,1965,1,6,3,1,1,0,1068,1068,0
2936,38.04203263020831,-78.49523823859279,325313897,753,NA,NA,NA,MADISON,AVE,NA,22903,R,NA,NA,2936,200216000,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,2,1963,1,6,2,1,1,0,1116,1148,100
2894,38.02676873008942,-78.51226302394112,85901384,1910,16,UNIT,NA,JEFFERSON PARK,AVE,NA,22903,R,NA,NA,2894,200174000,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1964,1,7,3,1,1,0,1207,1207,502
2944,38.01636573180655,-78.5148990948019,129836307,203,NA,NA,NA,OLD LYNCHBURG,RD,NA,22903,R,NA,NA,2944,200224000,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1964,1,5,3,1,1,0,1221,1221,288
2943,38.01692913216743,-78.5136662562507,127756083,115,NA,NA,NA,MONTE VISTA,AVE,NA,22903,R,NA,NA,2943,200223000,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Baseboard,0,1962,1,6,3,0,2,0,1282,1282,351
2946,38.015508653059655,-78.5139612066078,132196579,212,NA,NA,NA,MONTE VISTA,AVE,NA,22903,R,NA,NA,2946,200226000,Duplex,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,2,1964,1,6,2,0,1,0,1146,1146,860
2969,38.06115132898203,-78.47891211594212,61310565,1702,NA,NA,NA,ESSEX,RD,NA,22901,R,NA,NA,2969,200246200,Duplex,2 Story,C,Wood,Shingles,Hardwood,No Basement,Baseboard,0,1968,2,8,4,0,2,0,2196,0,0
2945,38.015521380325296,-78.51436203221752,132076572,213,NA,NA,NA,MONTE VISTA,AVE,NA,22903,R,NA,NA,2945,200225000,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,2,1962,1,8,4,1,2,0,1171,1171,1026
2972,-90,-152.64427050222758,7811776,322,NA,NA,NA,6 1/2,ST,SW,22903,R,NA,NA,2972,200247100,Duplex,2 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,4,1968,2,12,6,2,2,0,2582,1291,0
2971,38.06269517406764,-78.49505310427725,44410324,2207,NA,NA,NA,SHELBY,DR,NA,22901,R,NA,NA,2971,200247000,Vacant Land,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2975,38.04105403569343,-78.47223037014548,355814223,517,NA,NA,NA,250,BYP,NA,22901,R,NA,NA,2975,200251000,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1960,1,7,3,0,1,0,999,999,400
2973,38.03406096224832,-78.46510984722896,59238183,1221,NA,NA,NA,HAZEL,ST,NA,22902,R,NA,NA,2973,200249000,Single Family,1.5 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1959,1.5,5,3,0,2,0,1184,821,0
