RecordID_Int,ParcelNumber,UseCode,YearBuilt,GrossArea,StoryHeight,NumberOfStories
2161,550025000,Office Building,1954,260,10,1.00
2162,550042100,Church,1966,1335,12,1.00
2163,55A088000,Office Building,1996,1956,8,1.50
2164,55A088900,Church,1992,7650,12,1.00
2165,55A146000,Church,1920,1805,20,1.00
2166,560001000,Multiple Commercial Use,1950,1810,10,2.00
2167,560001000,Multiple Commercial Use,1950,120,10,1.00
2168,560001000,Multiple Commercial Use,1950,408,10,3.0
2169,560005000,Commercial,1961,5067,12,1.00
2170,560006000,Office,1985,6448,12,2.00
2171,560008000,Multiple Commercial Use,1966,39540,14,1.00
2172,560008100,Office Building,0,3080,16,1.0
2173,560008100,Office Building,0,3104,16,1.0
2174,560009000,Storage Warehouse,1972,3010,10,2.00
2175,560019000,Office Building,0,12885,10,2.00
2176,560019000,Office Building,0,660,10,2.00
2177,560021000,Commercial,0,1640,16,1.00
2178,560027000,Storage Warehouse,1950,7164,12,1.00
2179,560028000,Storage Warehouse,1945,8121,12,1.00
2180,560028000,Storage Warehouse,1945,3254,12,2.00
2181,560028000,Storage Warehouse,1945,3200,12,1.00
2182,560029200,Commercial,1963,900,12,1.00
2183,560029200,Commercial,1963,1200,12,1.00
2184,560029200,Commercial,1963,1134,12,1.00
2185,5600404A0,Mini-warehouse,2000,46250,12,1.00
2186,5600404A0,Mini-warehouse,2000,400,12,1.00
2187,5600404A0,Mini-warehouse,2000,21600,18,2.00
2188,5600404A0,Mini-warehouse,2000,22376,18,2.00
2189,5600404A0,Mini-warehouse,2000,46250,12,1.00
2190,5600404A0,Mini-warehouse,2000,400,12,1.00
2191,5600404A0,Mini-warehouse,2000,21600,18,2.00
2192,5600404A0,Mini-warehouse,2000,22376,18,2.00
2193,560042000,Office Building,1977,3200,10,1.00
2194,560042000,Office Building,1977,1618,10,2.00
2195,560042000,Office Building,1977,3200,10,1.00
2196,560042000,Office Building,1977,1618,10,2.00
2197,560043200,Commercial,2013,20023,16,0
2198,560043200,Commercial,2013,20023,16,1.00
2199,560044000,Office Building,1988,18000,12,2.00
2200,560044000,Office Building,1988,12000,24,1.00
2201,560044000,Office Building,1988,49500,24,1.00
2202,560044100,Office Building,1987,4000,10,1.00
2203,560044100,Office Building,1987,4000,12,1.00
2204,560044100,Office Building,1987,1165,10,1.00
2205,5600442A0,Office Building,1987,1422,11,1.00
2206,5600442A0,Office Building,1987,1493,11,1.00
2207,5600442B0,Commercial,1987,1342,11,1.00
2208,5600442B0,Commercial,1987,1414,11,1.00
2209,5600442C0,Multiple Commercial Use,1987,2212,11,1.00
2210,5600442CL,Multiple Commercial Use,1987,2179,11,1.00
2211,5600442D0,Commercial,1987,2156,12,1.00
2212,5600442D0,Commercial,1987,1091,12,1.00
2213,5600442D0,Commercial,1987,1191,12,1.00
2214,5600442E0,Office Building,1987,,,
2215,5600442F0,Office Building,1987,4199,11,1.00
2216,560044300,Storage Warehouse,1987,16420,22,1.00
2217,560044300,Storage Warehouse,1987,4684,22,1.00
2218,560044A00,Office Building,0,31220,40,1.00
2219,560045000,Office Building,1990,3168,12,1.00
2220,560045000,Office Building,1990,3168,12,1.00
2221,560048000,Apartments 11-20 Units,1999,3400,8,1.00
2222,560048000,Apartments 11-20 Units,1999,5032,8,2.00
2223,560084100,Condominium - Commercial,2012,2467,10,1.00
2224,560109000,Apartments over 20 units,2013,3120,9,1.00
2225,560109000,Apartments over 20 units,2013,3120,9,1.00
2226,560109000,Apartments over 20 units,2013,3120,9,1.00
2227,570002000,Storage Warehouse,2002,546,8,1.00
2228,570007400,Commercial,1995,1440,14,1.00
2229,570007900,Commercial,1975,900,14,1.00
2230,570007900,Commercial,1975,768,10,1.00
2231,570017000,Service Repair Garage,1973,6136,12,1.00
2232,570018000,Service Repair Garage,1976,3191,12,1.00
2233,570020000,Service Repair Garage,1983,3600,16,1.00
2234,570020000,Service Repair Garage,1983,504,10,1.00
2235,570022000,Mixed Retail w/Res Units,1950,3214,12,1.00
2236,570022000,Mixed Retail w/Res Units,1950,1019,12,1.00
2237,570024000,Office Building,1948,2361,10,1.00
2238,570025000,Office Building,1953,1253,10,1.00
2239,570025000,Office Building,1953,964,10,2.00
2240,570035000,Service Repair Garage,1948,6230,12,1.00
2241,570035000,Service Repair Garage,1948,560,12,2.00
2242,570036000,Apartments over 20 units,1973,10050,12,2.00
2243,570036000,Apartments over 20 units,1973,750,12,1.00
2244,570039000,Office Building,1951,3510,12,1.00
2245,570039000,Office Building,1951,2895,12,1.00
2246,570041000,Office Building,2002,3008,12,1.00
2247,570042000,Service Repair Garage,1940,906,12,1.00
2248,570042000,Service Repair Garage,1940,200,12,1.00
2249,570065000,Elementary Sch (Entire),1930,36789,12,3.00
2250,570065000,Elementary Sch (Entire),1930,12904,12,2.00
2251,570065000,Elementary Sch (Entire),1930,4127,20,1.00
2252,570065000,Elementary Sch (Entire),1930,815,12,1.00
2253,570093000,Market,1932,1950,12,1.00
2254,570093000,Market,1932,975,12,1.00
2255,570115000,Industrial Light Manufacturing,1931,26650,12,5.00
2256,570115000,Industrial Light Manufacturing,1931,22384,12,4.00
2257,570115000,Industrial Light Manufacturing,1931,10000,12,1.00
2258,570119000,Office Building,1940,1422,12,2.00
2259,570119000,Office Building,1940,257,12,1.00
2260,570121000,Commercial,1942,6848,12,2.00
2261,570121000,Commercial,1942,324,12,1.00
2262,570121100,Commercial,1960,2025,12,1.00
2263,570121200,Office Building,1970,5280,12,1.00
2264,570122000,Service Repair Garage,1985,5618,12,1.00
2265,570122000,Service Repair Garage,1985,968,12,1.00
2266,570123520,Group Care Home,1985,3724,8,2.00
2267,570123520,Group Care Home,1985,506,8,2.00
2268,570123720,Apartments 1-10 units,1970,3524,8,2.00
2269,570124000,Group Care Home,1989,5248,8,1.00
2270,570125A00,Apartments 1-10 units,2000,4320,8,2.00
2271,570128000,Apartments 1-10 units,1969,2860,8,2.00
2272,570131000,Apartments 1-10 units,1972,2876,12,2.00
2273,570133000,Apartments 1-10 units,1993,4752,8,2.00
2274,570135000,Commercial,1960,3420,14,1.00
2275,570157000,Commercial,1975,13200,12,1.00
2276,570160000,Multiple Commercial Use,1969,11600,20,1.00
2277,570160000,Multiple Commercial Use,1969,8400,12,1.00
2278,570161000,Multiple Commercial Use,2002,10008,12,1.00
2279,580001000,Office Building,1942,721,10,1.00
2280,580002000,Office Building,1885,8561,12,3.50
2281,580002000,Office Building,1885,2503,12,1.00
2282,580112000,Retail Store,0,698,10,1.00
2283,580114000,Service Repair Garage,1950,3156,16,1.00
2284,580123000,Office Building,1984,10096,10,1.00
2285,580127000,Restaurant,1962,1280,10,1.00
2286,580129000,Barber Shop,1961,625,12,1.00
2287,580144000,Restaurant,1961,1267,12,1.00
2288,580147000,Multiple Commercial Use,1920,42,8,1.00
2289,580147000,Multiple Commercial Use,1920,0,8,1.00
2290,580147000,Multiple Commercial Use,1920,3238,10,2.00
2291,580161000,Church,1958,10525,20,1.00
2292,580172000,Apartments 1-10 units,1937,,,
2293,580183000,Church,1940,2500,20,1.00
2294,580183000,Church,1940,288,12,2.00
2295,580216000,Office Building,1945,1414,8,1.00
2296,580218000,Office Building,1930,664,8,1.00
2297,580219000,Church,1958,21000,12,2.00
2298,580254000,Apartments 1-10 units,1920,,,
2299,580256000,Multiple Commercial Use,1920,1820,8,2.00
2300,580256000,Multiple Commercial Use,1920,1081,10,1.00
2301,580257000,Apartments 11-20 Units,0,468,,2
2302,580257000,Apartments 11-20 Units,0,1104,,2
2303,580257000,Apartments 11-20 Units,0,468,,2
2304,580257000,Apartments 11-20 Units,0,1104,,2
2305,580258000,Commercial,1958,2078,10,2.00
2306,580258000,Commercial,1958,2037,10,1.00
2307,580259000,Commercial,1912,1480,10,1.00
2308,580259000,Commercial,1912,780,10,1.00
2309,580260000,Barber Shop,1959,480,10,1.00
2310,580262000,Restaurant,1920,792,8,
2311,580263000,Restaurant,1920,1364,8,
2312,580263000,Restaurant,1920,546,8,
