OBJECTID,BIN,ST_NUMBER,ST_UNIT,UNIT_TYPE,PREDIR,ST_NAME,SUFFIX,POSTDIR,ZIP,STSEGID,USE_TYPE,created_user,created_date,last_edited_user,last_edited_date,MasterAddressID
2069,359014194,1717,B,STE, ,ALLIED,ST, ,22903, ,C,,,,,2069
2228,768417160,210,31,UNIT, ,10TH,ST,NE,22902, ,R,,,,,2228
2229,768417160,210,32,UNIT, ,10TH,ST,NE,22902, ,R,,,,,2229
2272,107043390,2417,E,APT, ,JEFFERSON PARK,AVE, ,22903, ,R,,,,,2272
2280,110343782,111,A,APT, ,HAMMOND,ST, ,22903, ,R,,,,,2280
2286,382814518,925,A,APT, ,HENRY,AVE, ,22903, ,R,,,,,2286
2287,382814518,925,B,APT, ,HENRY,AVE, ,22903, ,R,,,,,2287
2500,85901384,1910,24,UNIT, ,JEFFERSON PARK,AVE, ,22903, ,R,,,,,2500
2501,85901338,1910,7,UNIT, ,JEFFERSON PARK,AVE, ,22903, ,R,,,,,2501
2518,117174934,2514,A,APT, ,JEFFERSON PARK,AVE, ,22903, ,R,,,,,2518
2662,768417160,210,17,UNIT, ,10TH,ST,NE,22902, ,R,,,,,2662
2894,85901384,1910,16,UNIT, ,JEFFERSON PARK,AVE, ,22903, ,R,,,,,2894
2934,124995718,414,, , ,MOSELEY,DR, ,22903, ,R,,,,,2934
2935,325313945,729,, , ,MADISON,AVE, ,22903, ,R,,,,,2935
2936,325313897,753,, , ,MADISON,AVE, ,22903, ,R,,,,,2936
2937,1428919849,218,, , ,HUNTLEY,AVE, ,22903, ,R,,,,,2937
2943,127756083,115,, , ,MONTE VISTA,AVE, ,22903, ,R,,,,,2943
2944,129836307,203,, , ,OLD LYNCHBURG,RD, ,22903, ,R,,,,,2944
2945,132076572,213,, , ,MONTE VISTA,AVE, ,22903, ,R,,,,,2945
2946,132196579,212,, , ,MONTE VISTA,AVE, ,22903, ,R,,,,,2946
2969,61310565,1702,, , ,ESSEX,RD, ,22901, ,R,,,,,2969
2971,44410324,2207,, , ,SHELBY,DR, ,22901, ,R,,,,,2971
2972,7811776,322,, , ,6 1/2,ST,SW,22903, ,R,,,,,2972
2973,59238183,1221,, , ,HAZEL,ST, ,22902, ,R,,,,,2973
2975,355814223,517,, , ,250,BYP, ,22901, ,R,,,,,2975
2981,438415103,808,, , ,HENRY,AVE, ,22903, ,R,,,,,2981
2982,439015115,604,, , ,CYNTHIANNA,AVE, ,22903, ,R,,,,,2982
2983,363314424,115,, , ,ROTHERY,RD, ,22903, ,R,,,,,2983
2984,156111800,1612,, , ,GREENLEAF,LN, ,22903, ,R,,,,,2984
2985,264613229,1413,, , ,WESTWOOD,RD, ,22903, ,R,,,,,2985
2986,267513243,1408,, , ,WESTWOOD,RD, ,22903, ,R,,,,,2986
2987,275913345,1430,, , ,WESTWOOD,RD, ,22903, ,R,,,,,2987
2988,166811935,1602,, , ,ROSE HILL,DR, ,22903, ,R,,,,,2988
2989,144011666,2043,, , ,BARRACKS,RD, ,22903, ,C,,,,,2989
2994,104933225,607,, , ,SHAMROCK,RD, ,22903, ,R,,,,,2994
2995,105033205,1519,, , ,TRAILRIDGE,RD, ,22903, ,R,,,,,2995
2998,1508219752,720,, , ,ROCKLAND,AVE, ,22902, ,R,,,,,2998
2999,1263419754,807,, , ,ROCKLAND,AVE, ,22902, ,R,,,,,2999
3000,1441119768,119,, , ,BLINCOE,LN, ,22902, ,R,,,,,3000
2216,339014003,44,2,#, ,UNIVERSITY,CIR, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50768
2218,442915112,1534,B,#, ,VIRGINIA,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50769
2220,68128508,400,B,#, ,10TH,ST,NE,22902, , ,,,PFAUTZ,2016-11-28T17:23:02.000Z,50770
2226,303813655,821,A,#, ,CABELL,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50771
2230,397014643,802,4,#, ,CYNTHIANNA,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50772
2231,397014643,802,B,#, ,CYNTHIANNA,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50773
2279,7011249,416,I,#,W,MAIN,ST, ,22903, ,C,,,PFAUTZ,2016-11-28T17:23:00.000Z,50793
2308,102562856,1102,1,#, ,LEONARD,ST, ,22902, ,R,,,PFAUTZ,2016-11-28T17:23:00.000Z,50805
2480,6984753,105,2,#,W,WATER,ST, ,22902, , ,,,PFAUTZ,2016-11-28T17:23:00.000Z,50841
2583,13937149,428,205,#, ,MONROE,LN, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:00.000Z,50855
2584,13937149,428,308,#, ,MONROE,LN, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:00.000Z,50856
2665,680722036,107,3,#,W,MAIN,ST, ,22902, , ,,,PFAUTZ,2016-11-28T17:23:00.000Z,50872
